method,task_id,seed,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,final_correction_magnitude,trajectory_distortion_vs_plain
POV_ENDPOINT_PROJECTION,0,11,1.0,0.0,-0.048394367589266934,0.0,14.037290670108796,206.14479005336761,1.3663314758390261,20.166214730581753,9.955753684964202,85.0492743140944,85049.27431409441,26947977.51659598,1.9767445166760358,3.2987711781743596,7.962725349003449,0.048908845987170935,7.832486553117633,0.8903106516227126,7.0,6.0,27.140785617724426,1.9852489085701621,8.411764144897461
PLAIN_FM,0,12,0.0,0.0,0.06492061496164274,0.0,0.264938187265396,0.1370382308959961,0.4369772954690768,3.212618717005563,0.8868910347527698,0.03327388574892051,33.27388574892051,6167.221060212552,0.16658328097464065,1.3945204352146594,0.07221786997979507,0.04501827392959967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINAL_PROJECTION,0,12,0.0,0.0,0.3814229798642027,0.0,0.0,0.0,1.1517120635377613,2.221776542129061,0.5002703532034242,0.025839332819354133,25.839332819354134,337.89116567917165,0.7033236811587597,2.337213429749006,0.35596185899339616,0.044019667082466185,0.2732457820093259,0.02222432504640892,1.0,0.0,3.8060463351429172,3.8060463351429172,3.806046485900879
CURRENT_STATE_PROJECTION,0,12,0.0,0.0,0.07536786520546608,0.0,0.10554210510253892,6.437642574310303,0.6475118584145091,2.5405228362851857,0.7441262476263973,0.06891767028478579,68.91767028478579,17888.220830379534,0.3498901212319823,1.9624010050668441,4.142714570974931,0.04931634903186932,4.0117891050176695,0.4186299738357775,7.0,3.0,19.540526059455036,0.0,1.9901301860809326
POV_ENDPOINT_PROJECTION,0,12,0.0,0.0,0.05199532299035234,0.0,13.653636139297486,214.00128722190857,1.0190797883684939,17.59338090893625,8.11522182103221,60.49159853197432,60491.59853197432,17255142.348737318,1.8931876909167404,2.858036836354066,7.540951622009743,0.049693368084263057,7.408933064958546,0.8443502930458635,7.0,4.0,32.27638228490109,2.1856398037732863,8.451251029968262
PLAIN_FM,0,13,0.0,0.0,0.07113294680114478,0.0,0.2159177825927734,1.4807653427124023,0.444095637404534,3.197275383910834,0.9065499056103867,0.04140993644571933,41.40993644571933,8083.3017318064485,0.14155669040120888,1.4305117283615716,0.0705716090160422,0.044031698955222964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINAL_PROJECTION,0,13,0.0,0.0,0.017400640279131088,0.0,0.0,0.0,0.5002915525015735,2.3645024919632665,0.7506935056789663,0.010913533024852227,10.913533024852228,1128.7826954691282,0.4252136749428042,1.9165720399313722,1.174635335977655,0.04289932001847774,1.0937700259964913,0.10053961805533618,1.0,1.0,2.257655987537901,2.257655987537901,2.2576560974121094
CURRENT_STATE_PROJECTION,0,13,0.0,0.0,0.0756728205061352,0.0,0.0,6.023092269897461,0.7587646025960569,2.191043921299889,0.6949900977460738,0.07969345928881033,79.69345928881033,21336.45261718371,0.5154750975930278,2.2815158916635547,6.708052123023663,0.04975286906119436,6.576646531932056,0.7306600268930197,7.0,5.0,18.896316244512775,0.0,2.7504799365997314
POV_ENDPOINT_PROJECTION,0,13,1.0,0.0,-0.003381400850900329,0.0,9.609516388511658,200.11281490325928,1.3151288663269483,19.423314685290713,6.22276604027793,72.73246195392282,72732.46195392283,22952151.085542466,1.7638103707860833,3.003155820336704,7.293711663980503,0.048242161981761456,7.1636648259009235,0.8050004826509394,7.0,4.0,21.27373007521623,1.7523652305559516,7.51728630065918
PLAIN_FM,0,14,0.0,0.0,0.0716337987047947,0.0,0.30351178016662583,0.907893180847168,0.44720908262723413,3.200276295355647,0.8849364252379804,0.04015102516718491,40.15102516718491,8266.04802365811,0.14987025576506852,1.437476800145645,0.07037970400415361,0.04387381492415443,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINAL_PROJECTION,0,14,0.0,0.0,0.27129905024374745,0.0,0.0,0.0,1.0247727386088261,1.267007507638918,0.35865096276141156,0.010394064623664434,10.394064623664434,224.29114993265387,1.0619118190728436,3.2388063700075627,0.4454959320137277,0.04297825210960582,0.36485720600467175,0.033810729917604476,1.0,0.0,5.552868174588825,5.552868174588825,5.552867889404297
CURRENT_STATE_PROJECTION,0,14,0.0,0.0,0.025191070192176826,0.0,0.10984019603729234,6.935842037200928,0.6557089908441772,2.375663644243773,0.6959442575018905,0.08146626979496752,81.46626979496753,22762.05859279781,0.4129703384750957,1.9844986117179688,6.148426280007698,0.049428102909587324,6.017500198038761,0.656301446899306,7.0,5.0,19.084612181660532,0.0,2.2310924530029297
POV_ENDPOINT_PROJECTION,0,14,0.0,0.0,0.08135887336760991,0.0,9.479769926929475,199.81486916542053,1.0534146260307322,16.645563284832235,7.834909048470899,53.70262493866431,53702.62493866431,16269039.165571565,1.8795429503067924,3.1151093510383165,7.0617190600023605,0.04863363993354142,6.932002009009011,0.7558735023485497,7.0,4.0,28.51257713107988,2.5891204033821453,8.179608345031738
PLAIN_FM,0,15,0.0,0.0,0.07099371356414787,0.0,0.28241024580001817,1.04286789894104,0.44399104074224555,3.2457227593510094,0.9062841053160228,0.04550298776339942,45.502987763399425,9608.523598733693,0.161204562512827,1.410640902582587,0.06901393999578431,0.043090324965305626,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINAL_PROJECTION,0,15,0.0,0.0,0.33781141297163775,0.0,0.0,0.0,0.8686330251842589,1.6465948258795768,0.33987067387834236,0.013789352976844027,13.789352976844027,197.94252953267977,0.6987399448110057,2.3413287864476144,0.5279417529818602,0.0421535600326024,0.44887984899105504,0.04487322294153273,1.0,0.0,3.772355992326048,3.772355992326048,3.7723560333251953
CURRENT_STATE_PROJECTION,0,15,0.0,0.0,0.047898301846125216,0.0,0.1610507186889647,3.7509632110595703,0.565940351889923,2.718599810917595,0.7800946324393325,0.048479754997662106,48.479754997662106,11332.397161933106,0.2685359686348433,1.8158973371201386,4.2822965160012245,0.05020255403360352,4.151598479016684,0.45457340800203383,7.0,3.0,21.35694728169901,0.0,1.4896827936172485
POV_ENDPOINT_PROJECTION,0,15,1.0,0.0,-0.07590963686389482,0.0,10.506124057006836,202.9591989517212,0.8841247531911977,20.406811505327745,7.825759036175402,80.87422129985208,80874.2212998521,24219710.89394133,1.798831581458683,2.842143329549924,7.223656304005999,0.04876136296661571,7.0930327680544,0.7961386950919405,7.0,4.0,26.321416798204126,2.8130161738969237,7.657634735107422
PLAIN_FM,0,16,0.0,0.0,0.06867715632304254,0.0,0.177156489753723,0.41661977767944336,0.4287456098575332,3.2641271188331777,0.8945195399907299,0.038363912317950444,38.363912317950444,7052.389954790783,0.18403995604520557,1.3936387677487476,0.07051355001749471,0.04399031191132963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINAL_PROJECTION,0,16,0.0,0.0,0.07721377417995977,0.0,0.026313078069686746,0.3979039192199707,0.6179199476343076,2.660344813158446,0.7014095268194898,0.016368250630773205,16.368250630773208,2232.532376837211,0.2977731859851839,1.7093194557593485,1.1860102459904738,0.04300654400140047,1.1051667020074092,0.11706092994427308,1.0,1.0,1.837359933209726,1.837359933209726,1.83735990524292
CURRENT_STATE_PROJECTION,0,16,0.0,0.0,0.0317823100188923,0.0,0.25317029323577867,7.664330005645752,0.6331287378042268,2.463987599892043,0.7048082864439752,0.0930769589164866,93.0769589164866,26861.15314723088,0.37500073842488196,1.9289779734357355,6.126390422985423,0.04920074692927301,5.99581257608952,0.6602052001398988,7.0,5.0,20.323594890886145,0.0,2.2118630409240723
POV_ENDPOINT_PROJECTION,0,16,0.0,0.0,0.07206413840898873,0.0,11.294612527370452,216.4057832956314,1.139443367126411,20.37000660821821,7.252933392603904,79.68235261502987,79682.35261502987,25338850.329942107,1.9479852613982624,2.8928749584168227,7.499894501990639,0.04823825496714562,7.370375263039023,0.8298543333075941,7.0,5.0,31.51269598568744,2.131094023225248,8.372801780700684
PLAIN_FM,0,17,0.0,0.0,0.06344979152423678,0.0,0.26483432617187486,0.858147144317627,0.4411747125904128,3.154291262656695,0.8632335143475767,0.037175329093660614,37.175329093660615,7476.271730054496,0.14676478732675655,1.407868335723604,0.07040626899106428,0.04397440102184191,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINAL_PROJECTION,0,17,0.0,0.0,0.3814229798642027,0.0,0.0,0.0,1.0575508340544713,1.1762870417434264,0.6066444657413008,0.006180063560499605,6.180063560499605,152.7639309600204,1.0278022981522226,3.351076620522476,0.2623546569957398,0.0430256039253436,0.18163510598242283,0.01595246104989201,1.0,0.0,5.467088898661773,5.467088898661773,5.4670891761779785
CURRENT_STATE_PROJECTION,0,17,0.0,0.0,0.08478804405393107,0.0,0.0,4.887564182281494,0.9259368689414766,1.9889105558252034,0.6698709294032574,0.1366279573423288,136.6279573423288,43757.476930757024,0.7414847463001519,2.554909201386573,6.593924189975951,0.04944995604455471,6.463197058939841,0.7073202439351007,7.0,5.0,26.357931865044517,0.0,3.8066864013671875
POV_ENDPOINT_PROJECTION,0,17,0.0,0.0,0.1938409653707194,0.0,9.766769946098327,188.14868450164795,1.2123099216948277,17.69532784120977,6.3501388782885275,65.27549893202519,65275.4989320252,20021467.385503557,2.147697646801704,3.8104077150391675,7.090902829018887,0.048203993937931955,6.961236583883874,0.7603831821470521,7.0,1.0,38.00598819394775,5.319161573832418,9.193514823913574
PLAIN_FM,0,18,0.0,0.0,0.07140160264392713,0.0,0.19167498912811265,0.45346736907958984,0.4380958195014154,3.2051829777165004,0.9026434279742913,0.04460979719646874,44.60979719646874,9799.647661475186,0.15392184787559948,1.4470098229610553,0.07036360900383443,0.043859770928975195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
