method,scenario_id,category,task_id,seed,severity,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,optimizer_latency_sec,trajectory_distortion_vs_plain,projection_failure_rate
L05_NO_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,6,mild,1.0,0.0,-0.0033949255577656497,0.0,0.032242493438720654,0.0,0.444954452673868,2.7554932405401202,0.7788792820711132,0.024610893362819075,24.610893362819077,2620.816796579395,0.1807085692945363,1.6440418598504754,0.580751802015584,0.04607383086113259,0.45589124801335856,0.048047924938146025,3.0,0.0,4.696930418966863,0.45589124801335856,0.9284804463386536,0.0
PLAIN_FM,ood_shifted_000,SHIFTED_OBSTACLE,0,7,mild,1.0,0.0,-0.0039428994746058404,0.0,0.28606490459442124,0.2149057388305664,0.4510840570144335,3.2081582566018483,0.9275421565363855,0.04082554702899832,40.82554702899832,7358.138151546002,0.12441299199805718,1.3904349254506188,0.06949703401187435,0.04384259198559448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,7,mild,0.0,0.0,0.017849062538959612,0.0,0.0,0.0,0.430293543098267,2.4792747942294224,0.7065950304546098,0.024516579315263527,24.516579315263527,417.7440823636146,0.32617736521747864,1.8423342940692498,0.5814075189991854,0.044564543990418315,0.45867632096633315,0.05056816199794412,3.0,0.0,4.5019633632182705,0.45867632096633315,1.6397181749343872,0.0
L05_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,7,mild,1.0,0.0,-0.0011434929114440134,1.1642945185741382e-07,0.004473787212371683,0.0,0.40691774183509677,2.57414083056098,0.7567402358545253,0.039380601475687144,39.38060147568715,876.7599753614463,0.3042370727686222,1.8682448371394864,0.6722984710359015,0.04539156402461231,0.5481432550004683,0.0588101209141314,3.0,0.0,4.642622683409817,0.5481432550004683,1.560384750366211,0.0
L05_NO_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,7,mild,0.0,0.0,0.0067642975956893475,0.0,0.06941552619934077,0.0,0.4368556998823098,2.82294334609609,0.8073632434042061,0.029300016480933472,29.300016480933472,2325.8274222884456,0.16787560538472723,1.6295667033683963,0.6697627029498108,0.045743495982605964,0.5453542519826442,0.05819985584821552,3.0,0.0,4.6426226834053494,0.5453542519826442,0.8729840517044067,0.0
PLAIN_FM,ood_shifted_001,SHIFTED_OBSTACLE,1,0,medium,1.0,0.0,-0.10049053305566218,0.0,0.0,0.43109700083732605,0.47662466265846404,2.2086897000169516,1.1200858245447742,0.04577244242206839,45.772442422068394,10133.282320276972,0.111956956771977,1.7538306089924391,0.0703901979723014,0.04430795705411583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,ood_shifted_001,SHIFTED_OBSTACLE,1,0,medium,0.0,0.0,0.010318312635776442,0.0,0.0,0.0,0.2058664392987405,1.6910257811274303,0.869162548802528,0.02889369052286938,28.893690522869377,971.1962248097145,0.26626856692161727,1.899532319958466,0.6717291160020977,0.04509836493525654,0.5475090699037537,0.05655126099009067,3.0,0.0,2.891515049131921,0.5475090699037537,0.9886050224304199,0.0
L05_REPLACE,ood_shifted_001,SHIFTED_OBSTACLE,1,0,medium,0.0,0.0,0.022456794395777815,0.0,0.0,0.0,0.21257374892868033,1.6916053084559475,0.9037003957055589,0.028521270999395977,28.521270999395973,943.3658693304639,0.27207922686236286,1.8886595623959872,0.672275350021664,0.045296041935216635,0.5480803649988957,0.057247489981818944,3.0,0.0,3.0191508179785216,0.5480803649988957,1.045467495918274,0.0
L05_NO_REPLACE,ood_shifted_001,SHIFTED_OBSTACLE,1,0,medium,1.0,0.0,-0.03989554748930206,0.0,0.0,0.0,0.3179434139766951,1.867245714347533,0.9627926195487136,0.02213411598922478,22.13411598922478,2607.547413240233,0.1765083030054908,1.8113002410919448,0.669735933013726,0.04540792596526444,0.5456475299433805,0.05686046706978232,3.0,0.0,3.019150826424952,0.5456475299433805,0.5601961016654968,0.0
PLAIN_FM,ood_shifted_001,SHIFTED_OBSTACLE,1,1,medium,1.0,0.0,-0.09264121003438734,0.0,0.0,0.340576171875,0.49592782323463386,2.1396053404908915,1.0738480903454093,0.04470306059039278,44.70306059039279,9513.875025195006,0.12631387586160014,1.8148175337889334,0.0699136660550721,0.04393774596974254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,ood_shifted_001,SHIFTED_OBSTACLE,1,1,medium,0.0,0.0,0.024490861994928476,0.0,0.0,0.0,0.20182528636318575,1.5795479316635026,0.7775994947785615,0.028212346063710717,28.212346063710722,985.556488418569,0.35168230290667846,2.002779617785277,0.6727236220031045,0.04490906110731885,0.5482069079880603,0.057002772053238004,3.0,0.0,4.838847488204267,0.5482069079880603,1.3241291046142578,0.0
L05_REPLACE,ood_shifted_001,SHIFTED_OBSTACLE,1,1,medium,0.0,0.0,0.030633781014290748,0.0,0.0,0.0,0.2394337992378571,1.6417074282924284,0.8781917306686579,0.028464513761661953,28.464513761661955,951.8415611099814,0.2792789413843891,1.9539218690576292,0.6696912909974344,0.04576336406171322,0.5448827699874528,0.057048064132686704,3.0,0.0,4.702655123966586,0.5448827699874528,1.0289570093154907,0.0
L05_NO_REPLACE,ood_shifted_001,SHIFTED_OBSTACLE,1,1,medium,1.0,0.0,-0.037388524787982644,0.0,0.0,0.0,0.3429768836613537,1.7992461581803834,0.9260386366010208,0.02256964236669924,22.56964236669924,2797.016567230583,0.1933561450873677,1.8803097685477421,0.6682189219864085,0.045146807096898556,0.5447672660229728,0.05696962203364819,3.0,0.0,4.702655123946293,0.5447672660229728,0.5782444477081299,0.0
PLAIN_FM,ood_shifted_001,SHIFTED_OBSTACLE,1,2,medium,1.0,0.0,-0.09848115005290707,0.0,0.0,0.05957603454589844,0.4793752044418321,2.226107579916338,1.1022791121549373,0.040185257094313795,40.1852570943138,7890.860343613406,0.10232347084512208,1.7751870256176974,0.06965174898505211,0.043809810071252286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,ood_shifted_001,SHIFTED_OBSTACLE,1,2,medium,0.0,0.0,0.012271702747827795,0.0,0.0,0.0,0.22553295822646674,1.6585948814143663,0.8415938266571376,0.028230735220876966,28.230735220876966,927.313461001459,0.2749696193308176,1.9382344690267244,0.6675727849942632,0.044610805984120816,0.5448158970102668,0.05639807798434049,3.0,0.0,3.9351099134420755,0.5448158970102668,1.0070987939834595,0.0
L05_REPLACE,ood_shifted_001,SHIFTED_OBSTACLE,1,2,medium,0.0,0.0,0.002279595199198056,0.0,0.0,0.0,0.1773748728455536,1.6871658961780127,0.9074661257437476,0.031930797545256066,31.930797545256066,1037.5706351955876,0.3593729259612486,1.9361329306966764,0.7589615799952298,0.04514888999983668,0.636165552015882,0.06629702897043899,3.0,0.0,4.981284299191302,0.636165552015882,1.3865458965301514,0.0
L05_NO_REPLACE,ood_shifted_001,SHIFTED_OBSTACLE,1,2,medium,1.0,0.0,-0.020906190817966443,0.0,0.0,0.0,0.30395614639035606,1.8519426050210928,0.946624433585704,0.022029397038023785,22.029397038023788,2050.3187688197186,0.22342572310076886,1.8503809363134025,0.761204770009499,0.04537863295990974,0.6374181859428063,0.06655212806072086,3.0,0.0,4.981284308186269,0.6374181859428063,0.7689386606216431,0.0
PLAIN_FM,ood_shifted_001,SHIFTED_OBSTACLE,1,3,medium,1.0,0.0,-0.08751746217548632,0.0,0.0,0.841413140296936,0.44957279424024976,2.2087819723976843,1.10537090273446,0.04532112220799921,45.32112220799921,10097.702442013182,0.1152251896274185,1.7465013863692178,0.06940577202476561,0.04377419006777927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,ood_shifted_001,SHIFTED_OBSTACLE,1,3,medium,0.0,0.0,0.006229947041036382,0.0,0.0,0.0,0.12786473947119775,1.6679834877338526,0.8884835174527271,0.027879737474291254,27.87973747429125,861.5311941295636,0.31051142949130184,1.8734889811170874,0.66936966200592,0.044548061036039144,0.5463452570256777,0.05632287496700883,3.0,0.0,2.8221542167666565,0.5463452570256777,1.0055748224258423,0.0
L05_REPLACE,ood_shifted_001,SHIFTED_OBSTACLE,1,3,medium,0.0,0.0,0.021246371318330126,0.0,0.0,0.0,0.20743720369347934,1.6637656745139309,0.8177370529929991,0.02712989617941406,27.12989617941406,895.0683086314752,0.2748761393992002,1.9060151842725255,0.6717613960499875,0.04529209289466962,0.547975451045204,0.05688574997475371,3.0,0.0,2.8203967428887697,0.547975451045204,0.9430879354476929,0.0
L05_NO_REPLACE,ood_shifted_001,SHIFTED_OBSTACLE,1,3,medium,1.0,0.0,-0.02982639691674331,0.0,0.0,0.0,0.30265390414318405,1.8722224591767491,0.9393510879078186,0.022661553323510636,22.661553323510635,2719.0197794101045,0.18962374721477543,1.816141234493318,0.6715081490110606,0.04528166196541861,0.5479868400143459,0.057004713045898825,3.0,0.0,2.814310595160424,0.5479868400143459,0.5009889602661133,0.0
PLAIN_FM,ood_shifted_001,SHIFTED_OBSTACLE,1,4,medium,1.0,0.0,-0.09598585395119656,0.0,0.0,0.5685862898826599,0.45465467611523364,2.206880576482378,1.1175605637776578,0.0370068479919138,37.0068479919138,6615.22641706326,0.12286460729901466,1.7868849240157116,0.0699767770129256,0.044041376968380064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,ood_shifted_001,SHIFTED_OBSTACLE,1,4,medium,0.0,0.0,0.008130035912600503,0.0,0.0,0.0,0.20218987122123164,1.6659185116804094,0.8705673720453108,0.028553547010031793,28.553547010031792,952.4918534696404,0.2798607757134334,1.9286692989509564,0.6687324260128662,0.0445134699693881,0.54593515698798,0.056153890036512166,3.0,0.0,3.5475183730474162,0.54593515698798,0.9986679553985596,0.0
L05_REPLACE,ood_shifted_001,SHIFTED_OBSTACLE,1,4,medium,0.0,0.0,0.020882266624101767,0.0,0.0,0.0,0.20342969095734378,1.7116007119559917,0.9679625125196325,0.02984533717011157,29.845337170111566,941.6994855119661,0.28249220292694166,1.8834223442080325,0.6715805109706707,0.04532832303084433,0.5478386770118959,0.05752053699688986,3.0,0.0,3.954714019632455,0.5478386770118959,1.0724157094955444,0.0
L05_NO_REPLACE,ood_shifted_001,SHIFTED_OBSTACLE,1,4,medium,1.0,0.0,-0.04442698792441317,0.0,0.0,0.0,0.30462848301103834,1.8681156427387087,0.9876163988439187,0.020294255053410315,20.294255053410314,1748.6351990706582,0.18763691831245866,1.8268647322524054,0.6700022590230219,0.04530175105901435,0.5458800949854776,0.05753915599780157,3.0,0.0,3.954714041302235,0.5458800949854776,0.577216386795044,0.0
PLAIN_FM,ood_shifted_001,SHIFTED_OBSTACLE,1,5,medium,1.0,0.0,-0.09120282880908663,0.0,0.0,1.1642885208129883,0.4646499558538081,2.155282218033726,1.11072559583367,0.04645483353872114,46.45483353872115,10143.732270500785,0.11955637993532503,1.816588513772786,0.06956148601602763,0.04381648305570707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,ood_shifted_001,SHIFTED_OBSTACLE,1,5,medium,0.0,0.0,0.017285527296638528,0.0,0.0,0.0,0.18828956424127402,1.4597205994453273,0.8829418111730414,0.017056803891666347,17.056803891666345,452.97313151233396,0.3270355030349055,1.9868035831998374,0.5824460759758949,0.044764336897060275,0.4588282249751501,0.04925346892559901,3.0,0.0,3.3825653590048135,0.4588282249751501,1.0917868614196777,0.0
L05_REPLACE,ood_shifted_001,SHIFTED_OBSTACLE,1,5,medium,0.0,0.0,0.025323586763138353,0.0,0.0,0.0,0.23396543487264493,1.6332249675529251,0.8153814445775805,0.02626859257197041,26.26859257197041,865.2808721775277,0.27444972323413697,1.9683094445552787,0.6708855219767429,0.04536349402042106,0.5471600600285456,0.05646215908927843,3.0,0.0,3.503120216830063,0.5471600600285456,0.9364784359931946,0.0
L05_NO_REPLACE,ood_shifted_001,SHIFTED_OBSTACLE,1,5,medium,1.0,0.0,-0.034287840084555585,0.0,0.0,0.0,0.3236980041709424,1.8198330924324275,0.9284519716604781,0.022238275523816853,22.238275523816856,2610.5523661840602,0.19372815650262326,1.8890256683364848,0.6716502319904976,0.045409544138237834,0.5475824500899762,0.05671454389812425,3.0,0.0,3.5031202104397474,0.5475824500899762,0.5180614590644836,0.0
PLAIN_FM,ood_shifted_001,SHIFTED_OBSTACLE,1,6,medium,1.0,0.0,-0.08939261677202108,0.0,0.0,0.876004695892334,0.4851561533772831,2.1468621024949828,1.0795237967093545,0.041605799965988365,41.60579996598837,8818.212301574375,0.11197684951689854,1.7387161324484277,0.07010899001033977,0.04410569096216932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
