method,task_id,seed,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,trajectory_distortion_vs_plain,projection_failure_rate,trigger_fraction,zero_projection_trajectory
POV_L05_ADAPTIVE_NO_LAST,0,31,0.0,0.0,0.044161275377185574,0.0,0.2324928459167479,0.0,0.4471117712213685,3.0290773934042328,0.8725012604977838,0.03423601640825913,34.236016408259125,6564.393003748714,0.13405430277535124,1.4494533270381964,1.4227704019867815,0.04841491405386478,1.3009832550305873,0.14055018790531904,6.0,0.0,20.43339096826974,0.46775925159454346,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,1,0,0.0,0.0,0.0233153131955392,0.0,0.0,0.02381548285484314,0.4337233556360453,2.088239427797986,1.0900597953783726,0.03845111693673456,38.451116936734564,7823.7866601036585,0.14739466416947458,1.7697201193961951,1.2478564479970373,0.04840722103836015,1.1261628239881247,0.12179145688423887,6.0,0.0,23.064287472485493,0.3447646498680115,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,1,1,0.0,0.0,0.03203541475552091,0.0,0.0,0.0,0.4619722244268835,1.986297315218858,1.0147026961383667,0.041318063245072985,41.318063245072985,8508.535274077927,0.1703394885196453,1.9423304151621321,1.4304239899502136,0.04844396305270493,1.3085962709737942,0.13804108905605972,6.0,0.0,20.408334829433063,0.3839051127433777,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,1,2,0.0,0.0,0.025705363159414907,0.0,0.0,0.0,0.4357835572052896,2.0935586423503865,1.06525716739561,0.03359176827923449,33.591768279234486,5794.410495600255,0.14583016721382244,1.8243383924785437,1.1596970780519769,0.04842561297118664,1.0375427399412729,0.11477262305561453,6.0,0.0,18.790697183025543,0.35262784361839294,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,1,3,0.0,0.0,0.025580049912768688,0.0,0.0,0.016078799962997437,0.4093000450129999,2.101172205827607,1.0792576981061626,0.042910153132995066,42.91015313299506,9323.37690942251,0.166609903193903,1.7749498109781423,0.9685397610301152,0.04832072788849473,0.8470681050675921,0.09185151709243655,6.0,0.0,14.589709597292847,0.3614380657672882,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,1,4,0.0,0.0,0.025712618230213924,0.0,0.0,0.1331348717212677,0.41870882770523743,2.1282219082926828,1.1021226070560781,0.03287100185415842,32.87100185415842,5408.904408772425,0.17129376756588421,1.7786015790872374,1.3390113830100745,0.04825189895927906,1.2175969480304047,0.13098526606336236,6.0,0.0,14.039836242938934,0.30259042978286743,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,1,5,0.0,0.0,0.02852669360447918,0.0,0.0,0.7595610618591309,0.4314491152406533,2.0183900658176754,1.0657359470545138,0.04108490718913518,41.08490718913518,8133.757734540246,0.1768147282985359,1.9267401329450715,1.6217311049695127,0.048304389987606555,1.5000506020151079,0.15733393980190158,6.0,0.0,27.103198416041398,0.3848950266838074,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,1,6,0.0,0.0,0.024616680867167007,0.0,0.0,0.9270143508911133,0.44645332410413185,1.9836138216225483,1.0216188905450678,0.03886183914983865,38.86183914983865,8150.458113527371,0.157174520494568,1.8276323734279494,1.155985877965577,0.048608218028675765,1.0337107290397398,0.11071882816031575,6.0,0.0,16.227109242210094,0.4045451879501343,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,1,7,0.0,0.0,0.0299917363718874,0.0,0.0,0.9414386749267578,0.4607207862267494,1.9763007292708288,1.0236594530422813,0.06140350008346042,61.40350008346043,13260.912648500587,0.18043326083758124,2.013297408472647,1.619611608039122,0.04849381500389427,1.4975029550259933,0.15824556909501553,6.0,0.0,26.051689993110777,0.6189917922019958,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,1,8,0.0,0.0,0.023224862561004034,0.0,0.0,0.058264732360839844,0.47462507092215556,2.140388143700374,1.0846202664420486,0.03966126126745184,39.66126126745184,7986.937245303885,0.12677143712874162,1.81886181000156,1.425516085990239,0.04822533705737442,1.3042112030670978,0.13466946000698954,6.0,0.0,19.029350304850624,0.3290642499923706,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,1,9,0.0,0.0,0.023502838624487044,0.0,0.0,0.0,0.4306782049302282,2.0304645833966766,1.0390733793177676,0.03353495453599997,33.53495453599998,6335.2225562509575,0.1434133273304057,1.8714814512584264,1.429852708010003,0.04824617790291086,1.308372038998641,0.13929191103670746,6.0,0.0,25.4655925237784,0.2752297520637512,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,1,10,0.0,0.0,0.02860148907683896,0.0,0.0,0.5249631404876709,0.42306552363174144,2.0476280187416367,1.0526914387903374,0.038028363871830506,38.02836387183051,7459.477763815521,0.15235560692866373,1.8487421926023206,1.061169452033937,0.04814480303321034,0.9398272859980352,0.10341399686876684,6.0,0.0,18.064968020961725,0.3964790403842926,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,1,11,0.0,0.0,0.021125754981222877,0.0,0.0,0.3955778479576111,0.43006366945657276,2.0427527334955684,1.0930568555594486,0.03936013454360838,39.36013454360838,8391.100321596163,0.1592240746801203,1.8147274876414292,1.1533624560106546,0.04855718812905252,1.031645511975512,0.10779745999025181,6.0,0.0,12.531346348544538,0.2576499581336975,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,1,12,0.0,0.0,0.01922519722619459,0.0,0.0,0.1929175853729248,0.4437586978979593,2.066102798420972,1.0580516159698063,0.03834047347778696,38.340473477786965,7441.444190984793,0.13696238814511036,1.8557910148837617,1.2470941089559346,0.048566595127340406,1.1253062429605052,0.11968940001679584,6.0,0.0,19.70775834495775,0.35039377212524414,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,1,13,0.0,0.0,0.027547953347407395,0.0,0.0,0.49499718472361565,0.4272022304272778,2.068331615529914,1.0880823184139252,0.04381120589086425,43.81120589086425,9472.136774667382,0.15392971030310065,1.871839190776491,1.4377927509485744,0.048352603043895215,1.3161688289255835,0.14293732802616432,6.0,0.0,16.09044718522327,0.2971298396587372,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,1,14,0.0,0.0,0.023912172063012604,0.0,0.0,0.0,0.4414187613991283,2.1056071639651517,1.0868011346511057,0.03680031063210083,36.80031063210083,7117.90959713743,0.12628796320100458,1.7909646723660015,1.0500915609882213,0.04776835418306291,0.9365681500639766,0.09911850607022643,5.0,0.0,13.664885777834225,0.14405517280101776,0.0,0.7142857142857143,0.0
POV_L05_ADAPTIVE_NO_LAST,1,15,0.0,0.0,0.027523295129349867,0.0,0.0,0.03624677658081055,0.4158786561988504,2.0742878691192357,1.0670288396812704,0.04700414358605283,47.004143586052834,10215.970528646949,0.12848021669976897,1.842372820853857,1.3412384319817647,0.04836135799996555,1.2197306539746933,0.13086162105901167,6.0,0.0,17.29019742997499,0.28646695613861084,0.0,0.8571428571428571,0.0
