method,task_id,seed,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,trajectory_distortion_vs_plain,projection_failure_rate,trigger_fraction,zero_projection_trajectory
ORIGINAL_SAFEFLOWMPC,0,7,0.0,0.0,0.08525890857975402,0.0,0.0029873416900634275,0.0,0.5913709929884619,2.265333301591794,0.6083592951083246,0.0254195942410547,25.4195942410547,355.2759730738778,0.3115927195991741,2.165358453335829,0.18369083700235933,0.045099717972334474,0.04064249503426254,0.03130739298649132,7.0,0.0,19.223135400150866,1.7278697490692139,0.0,0.0,0.0
POV_L05_ALWAYS,0,7,0.0,0.0,0.03038394017698029,0.0,0.01212473373413081,0.2614256739616394,0.4647403123539879,2.501483996428191,0.783389143991732,0.03136848025574973,31.36848025574973,5054.572570214988,0.2953937622170109,1.9058127655368011,1.4702779820072465,0.04705244902288541,1.3459349879412912,0.1472935118363239,7.0,0.0,24.770668061529403,1.6621183156967163,0.0,0.0,0.0
POV_L05_ADAPTIVE,0,7,0.0,0.0,0.03038394017698029,0.0,0.01212473373413081,0.2614256739616394,0.4647403123539879,2.501483996428191,0.783389143991732,0.03136848025574973,31.36848025574973,5054.572570214988,0.2953937622170109,1.9058127655368011,1.5038130430039018,0.048441185033880174,1.3765094828559086,0.14810987591044977,7.0,0.0,24.770668061529403,1.6621183156967163,0.0,1.0,0.0
POV_L025_ADAPTIVE,0,7,0.0,0.0,0.04428935131362084,0.0,0.0634383153557776,0.5867031216621399,0.44983652299288807,2.8578363185245315,0.8485509362203141,0.03385793374457444,33.85793374457444,5629.549512543752,0.1439356157780188,1.5928210562174454,1.5266503100283444,0.048545037978328764,1.397784138971474,0.1497507348540239,7.0,0.0,24.66648885296184,0.7876803874969482,0.0,1.0,0.0
GOAL_AWARE_FINAL_PROJECTION,0,7,0.0,0.0,0.04721894978714326,0.0,0.0,0.0,0.4556224056640428,2.250650909215079,0.7556837961703224,0.018234483500982585,18.234483500982584,317.6728284204511,0.44532391044097525,2.191572110204773,0.17594417900545523,0.04431199899408966,0.09428146202117205,0.010461539030075073,1.0,0.0,2.3299836056031067,2.3299834728240967,0.0,0.0,0.0
PLAIN_FM,0,8,0.0,0.0,0.06493468607751472,0.0,0.33966855373382554,1.3835203647613525,0.4525520510612393,3.183833300789873,0.8632210541042896,0.04204791911927297,42.04791911927297,8486.41914696826,0.15207109830735113,1.4250701717156975,0.0708192290039733,0.04454274399904534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ORIGINAL_SAFEFLOWMPC,0,8,0.0,0.0,0.08189332149130402,0.0,0.0019144580841063963,0.0,0.5931197715837997,2.2593753631361824,0.6009059447064732,0.025338991168812677,25.33899116881268,352.19650176201156,0.30969446817024004,2.158717955418501,0.18811463203746825,0.046498813084326684,0.03925065905787051,0.02945377497235313,7.0,0.0,16.86824189097037,1.7637503147125244,0.0,0.0,0.0
POV_L05_ALWAYS,0,8,0.0,0.0,0.03064334671243421,0.0,0.06768183078765855,0.0,0.43698857364842575,2.706344290525837,0.7946335935566743,0.02953505353758379,29.53505353758379,4177.0758482124975,0.26831276087732214,1.7742878403108509,1.4297803420340642,0.04830729105742648,1.3012117589241825,0.14072597899939865,7.0,0.0,21.445053378159947,1.3719384670257568,0.0,0.0,0.0
POV_L05_ADAPTIVE,0,8,0.0,0.0,0.03064334671243421,0.0,0.06768183078765855,0.0,0.43698857364842575,2.706344290525837,0.7946335935566743,0.02953505353758379,29.53505353758379,4177.0758482124975,0.26831276087732214,1.7742878403108509,1.4131035330356099,0.04794277198379859,1.2862159049836919,0.13890427810838446,7.0,0.0,21.445053378159947,1.3719384670257568,0.0,1.0,0.0
POV_L025_ADAPTIVE,0,8,0.0,0.0,0.04815434184046337,0.0,0.08294469904303536,0.5108681321144104,0.43811444829091795,2.9456846411227318,0.8305070293762129,0.03284885778452753,32.84885778452753,5826.3583571819945,0.1718724774024794,1.581446496067912,1.3757120129885152,0.04681160504696891,1.2518392510246485,0.13667081104358658,7.0,0.0,20.295204567277185,0.7108085751533508,0.0,1.0,0.0
