method,task_id,seed,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,trajectory_distortion_vs_plain,projection_failure_rate
YFLOW_MAIN_PORT,0,2,0.0,0.0,0.03380213327809391,0.0,0.003077846431732034,0.0,0.40789193037554333,2.465949261121494,0.7849558066653722,0.026558104232000668,26.558104232000666,500.0220582513981,0.3337924572994208,1.8481628146285678,0.5597787339938805,0.04519383603474125,0.46355196699732915,0.04899835999822244,3.0,0.0,4.950014771479598,1.7668850421905518,0.0
GOAL_AWARE_FINAL_PROJECTION,0,2,0.0,0.0,0.06659405872489514,0.0,0.0,0.0,0.4686228892879898,2.715933796882378,0.8594911144367816,0.0372962508171584,37.2962508171584,665.6204620453218,0.494308022135435,2.000000473027739,0.1744885459775105,0.04378504096530378,0.09284357295837253,0.010490842047147453,1.0,0.0,2.444248886059159,2.444248914718628,0.0
PLAIN_FM,0,3,0.0,0.0,0.07206453917989504,0.0,0.2089800056457518,2.84456729888916,0.45921352991696374,3.2012565841264995,0.9058163467177829,0.04113670616714238,41.13670616714238,7680.173216384212,0.12849558717346254,1.4480022872149885,0.07015460799448192,0.04376645089359954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POV_L05_ALWAYS,0,3,0.0,0.0,0.04033212320238547,0.0,0.004961055183410501,0.0,0.437878843854277,2.7495447342682287,0.8356454749710753,0.024212086031579205,24.212086031579204,2471.0082215965376,0.2646479532459175,1.8039764615258749,1.2404544519959018,0.047316420066636056,1.1121763460105285,0.1230927478754893,7.0,0.0,20.053943942842377,1.4238523244857788,0.0
YFLOW_MAIN_PORT,0,3,0.0,0.0,0.036597800243248976,0.0,0.0,0.0,0.422728214437346,2.4476272900650273,0.779387570544906,0.026261799674291007,26.26179967429101,508.7355618395087,0.33583094574888095,1.891598319585244,0.46394766797311604,0.045105904107913375,0.3681196910329163,0.03849791799439117,3.0,0.0,4.735289555958291,1.7815312147140503,0.0
GOAL_AWARE_FINAL_PROJECTION,0,3,0.0,0.0,0.07466719525793518,0.0,0.0,0.0,0.4585320216351335,2.8510474492898283,0.8862858216561127,0.04495278666920659,44.952786669206596,876.0342649186238,0.5035116861750495,1.9365955226226619,0.17400388501118869,0.04368404799606651,0.09290349401999265,0.010412579984404147,1.0,0.0,2.507826718254823,2.507826805114746,0.0
PLAIN_FM,0,4,0.0,0.0,0.07344253612534968,0.0,0.31594977941513047,1.2879979610443115,0.4554710032326637,3.227788364615522,0.8601428529939373,0.04661211657227504,46.61211657227504,10484.056012830557,0.15879118864958097,1.4085414392819284,0.06999068398727104,0.043599834956694394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POV_L05_ALWAYS,0,4,0.0,0.0,0.009198050221797538,0.0,0.0,0.0,0.3775147701885797,2.7034108246942523,0.8003282543448537,0.032973588565353706,32.9735885653537,4148.389310385209,0.34379855217022953,1.5079015405572473,1.6042512090061791,0.047206366958562285,1.4760517239919864,0.15883587300777435,7.0,0.0,27.41790793197211,1.7403687238693237,0.0
YFLOW_MAIN_PORT,0,4,0.0,0.0,0.04302402641577491,0.0,0.0,0.0,0.4204440124244173,2.5199887865364383,0.7835182148323344,0.028122480643308186,28.12248064330819,513.0354271708278,0.32060494153535146,1.8446328683388864,0.6456001860206015,0.044975620054174215,0.549848218972329,0.0579929249943234,3.0,0.0,4.637487174154026,1.75496506690979,0.0
GOAL_AWARE_FINAL_PROJECTION,0,4,0.0,0.0,0.05443756579861232,0.0,0.0,0.0,0.4678813976855128,2.486309172873717,0.8166132548002888,0.027786850033924115,27.786850033924118,479.12162582875453,0.4942263137209801,2.146724911976771,0.1743019319837913,0.043667687044944614,0.09295648604165763,0.010542493022512645,1.0,0.0,2.5957348241227454,2.5957348346710205,0.0
PLAIN_FM,0,5,0.0,0.0,0.06871894711325184,0.0,0.4044778760910033,0.9894442558288574,0.45396397892630014,3.2318001489384773,0.9142575046786916,0.04543701543915146,45.43701543915146,8801.735405676902,0.1358455085866821,1.385202283025336,0.0697473079781048,0.043555522977840155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POV_L05_ALWAYS,0,5,0.0,0.0,0.034998636861910515,0.0,0.0,0.0,0.43841371251134226,2.572614698568555,0.7813225082498195,0.021918196683043067,21.918196683043067,3088.429434523476,0.25325670085059004,1.7556400146767748,1.23736274195835,0.047174225037451833,1.1092598799150437,0.12136288604233414,7.0,0.0,19.439147226856374,1.4036567211151123,0.0
YFLOW_MAIN_PORT,0,5,0.0,0.0,0.028677306670940546,0.0,0.0043546722412108885,0.0,0.35897881140192167,2.6093430752249396,0.8295178010141221,0.039358332221411794,39.35833222141179,884.2051481823164,0.32960509767186014,1.8286046712928274,0.6471526559907943,0.04561779904179275,0.5505267780390568,0.05596406297991052,3.0,0.0,4.777435737229024,1.703499674797058,0.0
GOAL_AWARE_FINAL_PROJECTION,0,5,0.0,0.0,0.03643345088395504,1.1642945185741382e-07,0.004154400634765576,0.0,0.30427644089364597,2.5924892269239157,0.9242584131612798,0.04650608907453551,46.50608907453551,1043.7173870297968,0.6060314274612589,1.8090501075302075,0.2655095850350335,0.04387338203378022,0.18387251102831215,0.018695625942200422,1.0,0.0,3.0783666788484916,3.078366756439209,0.0
PLAIN_FM,0,6,0.0,0.0,0.06484939355565979,0.0,0.2835099514961241,2.738626003265381,0.44167463901593484,3.2023848000459663,0.910502013088369,0.04454768841918677,44.54768841918678,8511.49543714107,0.14292172461080252,1.4344313955465378,0.07006102497689426,0.04377204005140811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POV_L05_ALWAYS,0,6,0.0,0.0,0.04525743081173102,0.0,0.0,0.10632991790771484,0.43743457201922203,2.513378193984408,0.7935014715751527,0.030271229577668833,30.271229577668834,5405.010096099468,0.32616611506523363,1.8416959353391564,1.603860899049323,0.04749271390028298,1.4754649399546906,0.1582044028909877,7.0,0.0,22.518010115595906,1.66233229637146,0.0
YFLOW_MAIN_PORT,0,6,0.0,0.0,0.02992223010665327,0.0,0.0,0.0,0.4111289270457144,2.40529418536965,0.7848518643886239,0.024249890535419063,24.249890535419066,447.495475154779,0.3514286875765641,1.9012396367777258,0.4649228769703768,0.04525926802307367,0.36862261698115617,0.03962789906654507,3.0,0.0,5.071469239040821,1.8031460046768188,0.0
GOAL_AWARE_FINAL_PROJECTION,0,6,0.0,0.0,0.043270783716317734,0.0,0.0,0.0,0.42664176704152734,2.294839983261643,0.8102752694941565,0.02205012263114392,22.05012263114392,406.1919047696483,0.4889762571176985,2.3878357735298437,0.17432612500851974,0.043680210947059095,0.09313716099131852,0.01055573404300958,1.0,0.0,2.542702993340793,2.5427029132843018,0.0
PLAIN_FM,0,7,0.0,0.0,0.06774255636681951,0.0,0.28606490459442124,0.2149057388305664,0.4510840570144335,3.2081582566018483,0.9275421565363855,0.04082554702899832,40.82554702899832,7358.138151546002,0.12441299199805718,1.3904349254506188,0.0700668059871532,0.043736270046792924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POV_L05_ALWAYS,0,7,0.0,0.0,0.03038394017698029,0.0,0.01212473373413081,0.2614256739616394,0.4647403123539879,2.501483996428191,0.783389143991732,0.03136848025574973,31.36848025574973,5054.572570214988,0.2953937622170109,1.9058127655368011,1.51230983203277,0.04731018905295059,1.3840763050247915,0.14908025512704626,7.0,0.0,24.770668061529403,1.6621183156967163,0.0
YFLOW_MAIN_PORT,0,7,0.0,0.0,0.02957529470311937,0.0,0.0038768466949461455,0.0,0.44380864889289495,2.3929578311186974,0.7376082349743728,0.021546717223650584,21.54671722365059,368.97789902438916,0.3445985179471036,1.867352230259512,0.5580823909840547,0.04537731100572273,0.46151528402697295,0.04753094498300925,3.0,0.0,4.543754565119873,1.7594813108444214,0.0
GOAL_AWARE_FINAL_PROJECTION,0,7,0.0,0.0,0.04721894978714326,0.0,0.0,0.0,0.4556224056640428,2.250650909215079,0.7556837961703224,0.018234483500982585,18.234483500982584,317.6728284204511,0.44532391044097525,2.191572110204773,0.17495046998374164,0.04360449482919648,0.09392550098709762,0.010588534001726657,1.0,0.0,2.3299836056031067,2.3299834728240967,0.0
PLAIN_FM,0,8,0.0,0.0,0.06493468607751472,0.0,0.33966855373382554,1.3835203647613525,0.4525520510612393,3.183833300789873,0.8632210541042896,0.04204791911927297,42.04791911927297,8486.41914696826,0.15207109830735113,1.4250701717156975,0.07048493705224246,0.044005977106280625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POV_L05_ALWAYS,0,8,0.0,0.0,0.03064334671243421,0.0,0.06768183078765855,0.0,0.43698857364842575,2.706344290525837,0.7946335935566743,0.02953505353758379,29.53505353758379,4177.0758482124975,0.26831276087732214,1.7742878403108509,1.418563230021391,0.047175684943795204,1.2906032010214403,0.1391888718935661,7.0,0.0,21.445053378159947,1.3719384670257568,0.0
