method,task_id,seed,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,trajectory_distortion_vs_plain,projection_failure_rate
NORMALIZED_POV_L1,3,20,1.0,0.0,-0.049105308392198,0.0,0.0,0.0,0.451008055111786,0.8628863786568746,0.5287077958934039,0.0037346720242981,3.7346720242981135,206.07079360503985,0.6894447073581533,2.03270447971732,1.2357506119878965,0.0514361290261149,1.1019925419823269,0.1231988939689472,7.0,0.0,26.764151721745336,3.36779522895813,0.0
DAMPED_POV_L05,3,20,0.0,0.0,0.0852307165718674,0.0,0.0,0.0,0.6656922099782032,1.4020463121286983,0.5321786744384555,0.0126613561367596,12.661356136759672,2005.1960359640293,0.4502968076986872,1.8214514929786303,1.151818379003089,0.0511276109609752,1.0192400899832137,0.1141820111079141,7.0,0.0,25.480663337737376,2.2927286624908447,0.0
DAMPED_POV_L025,3,20,0.0,0.0,0.1183757568730649,0.0,0.0,0.0,0.8043416815886649,1.743601259999142,0.669664597417452,0.0204583481819344,20.458348181934483,4422.275692322141,0.241733796588572,1.495979782714549,1.2413145980099216,0.0506017659208737,1.108949565037619,0.1231263540685176,7.0,0.0,24.83604967163497,1.0884395837783811,0.0
PLAIN_FM,3,21,0.0,0.0,0.1148514581654726,0.0,0.1085131929397582,0.0,0.9364060141836514,2.268185619689916,0.8513399246933362,0.0354880566004551,35.488056600455174,8488.899356437994,0.0816322196536105,1.4177025580805331,0.0711456210119649,0.0448769360082224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOAL_AWARE_FINAL_PROJECTION,3,21,1.0,0.0,-0.0447783027615749,0.0,0.0,0.0,0.4122379157521398,1.4192504426587411,0.745312655970246,0.0157007231218182,15.70072312181825,355.3774548644028,0.5761248864331676,1.8735667004678345,0.1739497559610754,0.0436070340801961,0.0927766239619813,0.0106525879818946,1.0,0.0,3.123333156384088,3.123333215713501,0.0
NORMALIZED_POV_L1,3,21,1.0,0.0,-0.0742783037485314,0.0,0.0,0.0,0.4274814705721336,1.0815958971095847,0.4876372359695219,0.0060365583134052,6.036558313405216,173.9510732660321,0.7961984515272171,2.452484637056294,1.2492294840049,0.051448380050715,1.1155629070126452,0.1229197800857946,7.0,0.0,28.20214850635227,4.098415374755859,0.0
DAMPED_POV_L05,3,21,0.0,0.0,0.0778323698279311,0.0,0.0,0.0,0.6561112955169249,1.4070837689206437,0.5442677924552249,0.0122855796203333,12.285579620333388,2305.5396328446777,0.4527420001170313,1.7980916527557238,1.2433756819809787,0.0505414740764535,1.1112005430622958,0.122139778046403,7.0,0.0,28.41943796645092,2.324290990829468,0.0
DAMPED_POV_L025,3,21,0.0,0.0,0.1133531617608662,0.0,0.0,0.0,0.8025772308076804,1.7846576153387708,0.6956311506502815,0.021359178621628,21.35917862162806,4958.006432355687,0.2165318410885054,1.485317832881739,1.2425901720416732,0.0503456689184531,1.1106555900769308,0.1243322348454967,7.0,0.0,26.184933667917253,1.0868072509765625,0.0
PLAIN_FM,3,22,0.0,0.0,0.1187441143733456,0.0,0.1069664524078368,0.0958156585693359,0.9548949355137404,2.2918228715182805,0.8793279903735264,0.0347960278110932,34.79602781109326,7618.657400610607,0.0780929935478172,1.4553148921188324,0.0707680120249278,0.0444648979464545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOAL_AWARE_FINAL_PROJECTION,3,22,1.0,0.0,-0.0317307351492994,0.0,0.0,0.0,0.3911413368593643,1.3385962848314923,0.7536654584645184,0.0124615752865455,12.461575286545568,257.9065855568885,0.6300499676794018,1.954235928618836,0.1742191939847543,0.0434672520495951,0.0931517040007747,0.010631347016897,1.0,0.0,3.32511261958175,3.325112581253052,0.0
