method,task_id,seed,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,optimizer_latency_sec,trajectory_distortion_vs_plain,projection_failure_rate
L05_NO_REPLACE,0,9,0.0,0.0,0.042710920725058915,0.0,0.02616391744613633,0.0,0.42010808206695904,2.822958078870624,0.8089627559668567,0.023462523197286894,23.462523197286895,2162.385468900258,0.18391834546950295,1.6017555485184125,0.5716220070025884,0.044640765932854265,0.4507692809565924,0.05105073604499921,3.0,0.0,5.228398795296096,0.4507692809565924,1.0240858793258667,0.0
PLAIN_FM,0,10,0.0,0.0,0.05368686935653379,0.0,0.29797719087600694,1.0349345207214355,0.4259373115424244,3.2093802357701513,0.9072455304795978,0.03842669061557924,38.42669061557925,7829.268188754758,0.16294654301049677,1.3296472575301659,0.06830747000640258,0.04326738399686292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,0,10,0.0,0.0,0.033525964260055344,0.0,0.0,0.0,0.4045261200584754,2.587184279479252,0.8078383172063527,0.03246304092486343,32.46304092486343,594.7567365927036,0.3258216672714169,1.779243941306842,0.6649034059955738,0.04411008098395541,0.5436528499703854,0.06142281007487327,3.0,0.0,4.419846775806882,0.5436528499703854,1.6444255113601685,0.0
L1_NO_REPLACE,0,10,0.0,0.0,0.03161600963708165,0.0,0.0,0.0,0.40744705272627857,2.5631045206131664,0.8015489879616143,0.031268201142338636,31.26820114233864,579.2140595870187,0.325627148955397,1.7893717023669418,0.5859377240412869,0.045614662987645715,0.4629481630399823,0.05213806696701795,3.0,0.0,4.714248918288986,0.4629481630399823,1.6560664176940918,0.0
L05_REPLACE,0,10,0.0,0.0,0.0327000823388327,0.0,0.0,0.0,0.39576657291799017,2.558962111019369,0.8044872695904088,0.02968050901352226,29.68050901352226,565.0932781905206,0.32942910108772683,1.7749059160497769,0.5852110550040379,0.045762054971419275,0.4619203460169956,0.0520273920847103,3.0,0.0,5.074772500649129,0.4619203460169956,1.663245439529419,0.0
L05_NO_REPLACE,0,10,0.0,0.0,0.02862797436967998,0.0,0.0007005151748655791,0.0,0.4122063367234421,2.8113488800115696,0.8232921332827774,0.02311796159614199,23.11796159614199,2015.6139991571288,0.19088777147744979,1.5475645428628941,0.5852656559436582,0.045560342958197,0.4622794030001387,0.0521422250312753,3.0,0.0,5.074772500649074,0.4622794030001387,0.9352313280105591,0.0
PLAIN_FM,0,11,0.0,0.0,0.06351668339826581,0.0,0.32583491172790513,0.6984424591064453,0.45304711640195483,3.1507387576604042,0.904358574415116,0.05065303451605152,50.65303451605152,11360.561937820377,0.11579828414958314,1.4353376534200826,0.06908695097081363,0.04368112300289795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,0,11,0.0,0.0,0.029261680019675718,0.0,0.0,0.0,0.43840282970091343,2.3439126224298668,0.7447553879884133,0.020521220588455426,20.521220588455424,335.23596684458175,0.3500160482302108,1.92354911766293,0.6755723649985157,0.044517044036183506,0.5536320909741335,0.06056300597265363,3.0,0.0,4.560426238539825,0.5536320909741335,1.6918785572052002,0.0
L1_NO_REPLACE,0,11,0.0,0.0,0.025446001403098537,0.0,0.0,0.0,0.43941812414267734,2.3145061747880633,0.7552618732917687,0.017317327581350864,17.317327581350863,275.34827603568345,0.37289155691333475,1.971638496654238,0.5847898519714363,0.04547299799742177,0.46202297607669607,0.051877687976229936,3.0,0.0,4.5535840574460815,0.46202297607669607,1.791175127029419,0.0
L05_REPLACE,0,11,0.0,0.0,0.02696785458205047,0.0,0.0,0.0,0.43729616021399864,2.3313668723966106,0.7551711241428573,0.018719182650582554,18.719182650582553,330.0395500955852,0.36529481163269567,1.958743258873699,0.582972864038311,0.045090610918123275,0.46042468398809433,0.05003143899375573,3.0,0.0,4.762229870719621,0.46042468398809433,1.7519254684448242,0.0
