method,task_id,seed,flow_step,t,lambda_pov,raw_velocity_norm,endpoint_constraint_violation_before_projection,endpoint_goal_error,endpoint_min_clearance,projection_called,projection_solver_success,projection_solver_status,projection_solver_iterations,projection_runtime_sec,projection_total_runtime_sec,correction_norm,normalized_correction_norm,velocity_change_norm,goal_error_before_projection,goal_error_after_projection,min_clearance_before_projection,min_clearance_after_projection,violation_before_projection,violation_after_projection,projection_error,predicted_endpoint_true_collision,adaptive_trigger,optimization_rate,unsafe_endpoint,time_eligible,raw_tracking_weight,safety_trigger_runtime_sec,true_collision_after_optimization,terminal_step,projection_active,eta
YFLOW_MAIN_PORT,0,0,6,0.8571428571428571,,19.805709838867188,2.6625329371929167,0.47355227159894386,0.05474571014437517,1.0,1.0,0.0,1,0.01037801697384566,0.09227342199301347,1.297436021783104,9.082052230834961,9.082052230834961,0.47355227159894386,0.42710658717561906,0.05474571014437517,0.03621305677759204,2.6625329371929167,0.0003352115245562892,,0.0,0.0,1.0,,,51.42857142857142,0.0,0.0,1.0,1.0,1.0
HYBRID_LATE_DAMPED,0,0,0,0.0,,18.521711349487305,14.858668309116364,0.45995284070968484,0.05759409375512976,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,
HYBRID_LATE_DAMPED,0,0,1,0.14285714285714285,,18.458784103393555,12.181367438697816,0.46808386114721884,0.0581863300731217,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,
HYBRID_LATE_DAMPED,0,0,2,0.2857142857142857,,18.479833602905273,9.85798076953888,0.46792016357285443,0.06054826297534378,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,
HYBRID_LATE_DAMPED,0,0,3,0.42857142857142855,,18.47991180419922,7.733020645046234,0.46563863092290675,0.06250954013200784,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,
HYBRID_LATE_DAMPED,0,0,4,0.5714285714285714,,18.480724334716797,6.047917168998718,0.4620365789341203,0.06449717460091177,1.0,1.0,0.0,2,0.018586602003779262,0.1820610609720461,1.6047916353690006,3.744513750076294,1.872256875038147,0.4620365789341203,0.4114957312195791,0.06449717460091177,0.06341605755849467,6.047917168998718,0.004154647448284088,,0.0,0.0,1.0,1.0,1.0,22.857142857142854,0.0,0.0,,,
HYBRID_LATE_DAMPED,0,0,5,0.7142857142857143,,18.57500457763672,4.19702694978714,0.46093497112024495,0.06601226415061774,1.0,1.0,0.0,2,0.018324285047128797,0.1816270420094952,1.660167510757346,5.810585975646973,2.9052929878234863,0.46093497112024495,0.36990821204353375,0.06601226415061774,0.03834212247071436,4.19702694978714,0.004303123571280487,,0.0,0.0,1.0,1.0,1.0,35.714285714285715,0.0,0.0,,,
HYBRID_LATE_DAMPED,0,0,6,0.8571428571428571,,18.678102493286133,3.5437749442100523,0.4641770399881284,0.06403613730309439,1.0,1.0,0.0,1,0.010539792012423277,0.092308132967446,1.5030461420132426,10.521323204040527,5.260661602020264,0.4641770399881284,0.41733556425418905,0.06403613730309439,0.038542078619951,3.5437749442100523,0.0,,0.0,0.0,1.0,1.0,1.0,51.42857142857142,0.0,0.0,,,
HYBRID_LATE_ADAPTIVE,0,0,0,0.0,,18.521711349487305,14.858668309116364,0.45995284070968484,0.05759409375512976,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,
HYBRID_LATE_ADAPTIVE,0,0,1,0.14285714285714285,,18.458784103393555,12.181367438697816,0.46808386114721884,0.0581863300731217,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,
HYBRID_LATE_ADAPTIVE,0,0,2,0.2857142857142857,,18.479833602905273,9.85798076953888,0.46792016357285443,0.06054826297534378,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,
HYBRID_LATE_ADAPTIVE,0,0,3,0.42857142857142855,,18.47991180419922,7.733020645046234,0.46563863092290675,0.06250954013200784,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,
HYBRID_LATE_ADAPTIVE,0,0,4,0.5714285714285714,,18.480724334716797,6.047917168998718,0.4620365789341203,0.06449717460091177,1.0,1.0,0.0,2,0.01859212201088667,0.1817832739907317,1.6047916353690006,3.744513750076294,1.872256875038147,0.4620365789341203,0.4114957312195791,0.06449717460091177,0.06341605755849467,6.047917168998718,0.004154647448284088,,0.0,1.0,1.0,1.0,1.0,22.857142857142854,0.0035780390026047826,0.0,,,
HYBRID_LATE_ADAPTIVE,0,0,5,0.7142857142857143,,18.57500457763672,4.19702694978714,0.46093497112024495,0.06601226415061774,1.0,1.0,0.0,2,0.01818109193118289,0.18141431495314464,1.660167510757346,5.810585975646973,2.9052929878234863,0.46093497112024495,0.36990821204353375,0.06601226415061774,0.03834212247071436,4.19702694978714,0.004303123571280487,,0.0,1.0,1.0,1.0,1.0,35.714285714285715,0.0036343600368127227,0.0,,,
HYBRID_LATE_ADAPTIVE,0,0,6,0.8571428571428571,,18.678102493286133,3.5437749442100523,0.4641770399881284,0.06403613730309439,1.0,1.0,0.0,1,0.010524841025471687,0.09223970101447776,1.5030461420132426,10.521323204040527,5.260661602020264,0.4641770399881284,0.41733556425418905,0.06403613730309439,0.038542078619951,3.5437749442100523,0.0,,0.0,1.0,1.0,1.0,1.0,51.42857142857142,0.0036349499714560807,0.0,,,
ADAPTIVE_ALLTIME_L05,0,0,0,0.0,,18.521711349487305,14.858668309116364,0.45995284070968484,0.05759409375512976,1.0,1.0,0.0,2,0.02050286898156628,0.18483878101687878,3.3684496806184874,3.3684496879577637,1.6842248439788818,0.45995284070968484,0.5556867188988079,0.05759409375512976,0.09249068345528698,14.858668309116364,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0036195989814586937,0.0,,,
ADAPTIVE_ALLTIME_L05,0,0,1,0.14285714285714285,,18.527240753173828,12.707204383277894,0.4700394828752122,0.05846420482897126,1.0,1.0,0.0,2,0.020371096034068614,0.1839253680082038,3.218638697728109,3.7550783157348633,1.8775391578674316,0.4700394828752122,0.5388448398499617,0.05846420482897126,-0.006708512964495872,12.707204383277894,0.006708512964495872,,0.0,1.0,1.0,1.0,1.0,1.4285714285714284,0.0036621809704229236,1.0,,,
ADAPTIVE_ALLTIME_L05,0,0,2,0.2857142857142857,,18.66698455810547,10.891001683139802,0.4730430918548211,0.060631592931323294,1.0,1.0,0.0,3,0.028498496976681054,0.2753724689828232,2.3417375336511834,3.2784323692321777,1.6392163038253784,0.4730430918548211,0.3895862504453473,0.060631592931323294,0.06995995145789961,10.891001683139802,0.00037752551022940395,,0.0,1.0,1.0,1.0,1.0,5.7142857142857135,0.003610769985243678,0.0,,,
ADAPTIVE_ALLTIME_L05,0,0,3,0.42857142857142855,,18.7485294342041,8.884591024780274,0.47066145584078906,0.061651535471594146,1.0,1.0,0.0,2,0.020389267010614276,0.18356004898669198,3.5583926124055973,6.227186679840088,3.113593578338623,0.47066145584078906,0.5115105411911932,0.061651535471594146,0.0439875913536847,8.884591024780274,0.0,,0.0,1.0,1.0,1.0,1.0,12.857142857142856,0.0036451909691095352,0.0,,,
ADAPTIVE_ALLTIME_L05,0,0,4,0.5714285714285714,,19.117919921875,6.777336460018158,0.4730608244995906,0.06116315472081431,1.0,1.0,0.0,2,0.018037667963653803,0.18109062797157094,1.5056732164135043,3.513237237930298,1.756618618965149,0.4730608244995906,0.44903342637267146,0.06116315472081431,0.07849341821710717,6.777336460018158,0.004154645207527619,,0.0,1.0,1.0,1.0,1.0,22.857142857142854,0.0036430900217965245,0.0,,,
ADAPTIVE_ALLTIME_L05,0,0,5,0.7142857142857143,,19.227691650390625,3.8820743676662444,0.4703798757386978,0.06274910342156108,1.0,1.0,0.0,1,0.011045744002331048,0.09458774904487655,1.8492945587449705,6.472531318664551,3.2362656593322754,0.4703798757386978,0.46979796252508205,0.06274910342156108,0.03045421658959098,3.8820743676662444,0.0,,0.0,1.0,1.0,1.0,1.0,35.714285714285715,0.0036470009945333004,0.0,,,
ADAPTIVE_ALLTIME_L05,0,0,6,0.8571428571428571,,19.847745895385742,3.232664030456543,0.47715086346661745,0.05951328799683149,1.0,1.0,0.0,1,0.010699206031858921,0.09320208500139415,1.4178030908566819,9.92462158203125,4.962310791015625,0.47715086346661745,0.44358293546046984,0.05951328799683149,0.03670147014794803,3.232664030456543,0.0,,0.0,1.0,1.0,1.0,1.0,51.42857142857142,0.003653021005447954,0.0,,,
PLAIN_FM,0,1,0,0.0,0.0,19.77194595336914,15.867670339012147,0.4426117901474289,0.038767264258152134,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,
PLAIN_FM,0,1,1,0.14285714285714285,0.0,19.747652053833008,14.21192125644684,0.4469880571235585,0.0415876911120487,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,
PLAIN_FM,0,1,2,0.2857142857142857,0.0,19.807626724243164,10.801270168685914,0.44613612456899393,0.04615067127195045,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,
PLAIN_FM,0,1,3,0.42857142857142855,0.0,19.856895446777344,7.345973413848877,0.444068433012421,0.049193404668201726,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,
PLAIN_FM,0,1,4,0.5714285714285714,0.0,19.935142517089844,4.053745430374145,0.4414959289824884,0.05187797990999067,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,
PLAIN_FM,0,1,5,0.7142857142857143,0.0,20.053665161132812,1.7864026245117186,0.44043081127896755,0.05404630784719157,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,
PLAIN_FM,0,1,6,0.8571428571428571,0.0,19.919696807861328,0.2275168464660644,0.448154549978916,0.0542539540896924,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,
