method,task_id,seed,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,optimizer_latency_sec,safety_trigger_latency_sec,trajectory_distortion_vs_plain,projection_failure_rate
POV_L05_ALWAYS,1,0,0.0,0.0,0.03225498511751462,0.0,0.0,0.0,0.2909957833029356,1.6631247206751838,0.9588800049833935,0.017526571361149657,17.526571361149657,2000.1961765204303,0.36253754007923933,1.8897591135759175,1.3559458249947056,0.047604892984963953,1.2238247721106745,0.13265656802104786,7.0,0.0,25.177932588230792,1.2238247721106745,0.0,1.3821542263031006,0.0
YFLOW_MAIN_PORT,1,0,0.0,0.0,0.0232073100692511,0.0,0.0,0.0,0.16635422786246865,1.5801593928832771,0.9418125453539213,0.020665117188901128,20.665117188901128,548.753922231815,0.3345645944791261,1.9197364285637388,0.47185729298507795,0.04607515211682767,0.372787275002338,0.03895974502665922,3.0,0.0,3.0899507227777185,0.372787275002338,0.0,1.113611102104187,0.0
HYBRID_LATE_DAMPED,1,0,0.0,0.0,0.03225327299541364,0.0,0.0,0.0,0.32651134682681027,1.7797365667966656,0.973209353052203,0.018037595763009062,18.03759576300906,2276.329088525053,0.22595978128732122,1.8474814820434318,0.4657125690137036,0.04465457599144429,0.3697803599643521,0.03904356592101976,3.0,0.0,3.2409333739089465,0.3697803599643521,0.0,0.6138884425163269,0.0
HYBRID_LATE_ADAPTIVE,1,0,0.0,0.0,0.03225327299541364,0.0,0.0,0.0,0.32651134682681027,1.7797365667966656,0.973209353052203,0.018037595763009062,18.03759576300906,2276.329088525053,0.22595978128732122,1.8474814820434318,0.46542195201618597,0.04487903305562213,0.36960066604660824,0.03899121598806232,3.0,0.0,3.2409333739089714,0.36960066604660824,0.0108732910011895,0.6138884425163269,0.0
ADAPTIVE_ALLTIME_L05,1,0,0.0,0.0,0.032445038936476045,0.0,0.0,0.0,0.3132583551172322,1.799336974264232,0.9903255155726135,0.01927356716513684,19.27356716513684,2224.80218574424,0.220829009448267,1.8482748836879002,1.5390520989894867,0.04848271398805082,1.403260422986932,0.1486443670000881,7.0,0.0,14.03931936248356,1.403260422986932,0.02664890408050269,0.6067917943000793,0.0
PLAIN_FM,1,1,0.0,0.0,0.029226751757445102,0.0,0.0,0.340576171875,0.49592782323463386,2.1396053404908915,1.0738480903454093,0.04470306059039278,44.70306059039279,9513.875025195006,0.12631387586160014,1.8148175337889334,0.06962715199915692,0.043298393953591585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POV_L05_ALWAYS,1,1,0.0,0.0,0.029936304020568946,0.0,0.0,0.0,0.3432014303055691,1.4074206639894125,0.8326492675712331,0.013919372614514147,13.919372614514149,2359.8939451517476,0.3868976024568189,2.2219917071870583,1.4298992400290444,0.04716234002262354,1.3012541920179501,0.1410544971586205,7.0,0.0,20.28226182327701,1.3012541920179501,0.0,1.3775827884674072,0.0
YFLOW_MAIN_PORT,1,1,0.0,0.0,0.02733504861492317,0.0,0.0,0.0,0.1825658343588534,1.418815596706315,0.8861909044704623,0.015332074125746914,15.332074125746914,387.9137909338096,0.3649571950830942,1.9987988513598556,0.46440574701409787,0.04466726793907583,0.3687616048846394,0.03895356395514682,3.0,0.0,3.4564127931833877,0.3687616048846394,0.0,1.1718205213546753,0.0
HYBRID_LATE_DAMPED,1,1,0.0,0.0,0.035384826796510394,0.0,0.0,0.0,0.3096480580764151,1.8186909553759982,0.9811306369432535,0.022030593484781535,22.030593484781537,2588.9961462130796,0.22951761760105793,1.857890377763972,0.5627667980152182,0.04495822300668806,0.4658603940042667,0.04671974910888821,3.0,0.0,3.3389858931811327,0.4658603940042667,0.0,0.559084951877594,0.0
HYBRID_LATE_ADAPTIVE,1,1,0.0,0.0,0.035384826796510394,0.0,0.0,0.0,0.3096480580764151,1.8186909553759982,0.9811306369432535,0.022030593484781535,22.030593484781537,2588.9961462130796,0.22951761760105793,1.857890377763972,0.5558234059717506,0.04468910698778927,0.46001269994303584,0.04630991898011416,3.0,0.0,3.338985893194406,0.46001269994303584,0.010973433963954449,0.559084951877594,0.0
