method,task_id,seed,flow_step,t,projection_target,velocity_norm,endpoint_total_violation,endpoint_min_clearance,endpoint_goal_error,projection_called,solver_success,solver_runtime_sec,projection_total_runtime_sec,projection_correction_norm,projection_objective,min_clearance_before_projection,min_clearance_after_projection,violation_before_projection,violation_after_projection,projection_error,solver_iterations,corridor_collision_count
PLAIN_FM,1,22,1,0.14285714285714285,none,14.616413116455078,6.784296642501825,-0.00861228581237243,0.506956740184516,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,1,22,2,0.2857142857142857,none,14.645095825195312,6.51087137893955,-0.0016376657895253305,0.5018978562403524,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,1,22,3,0.42857142857142855,none,14.683393478393555,5.923922061920166,0.006636670135722278,0.4958041683349312,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,1,22,4,0.5714285714285714,none,14.731928825378418,5.14636754989624,0.014455296407876184,0.49171910811498015,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,1,22,5,0.7142857142857143,none,14.813385009765625,3.7572693824768066,0.021557497551317806,0.48844767804128747,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,1,22,6,0.8571428571428571,none,14.959575653076172,1.637328863143921,0.02684347812554594,0.48833057648156974,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,22,0,0.0,none,14.67691421508789,7.501850433040491,-0.019362277675500514,0.5129280108194071,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,22,1,0.14285714285714285,none,14.616413116455078,6.784296642501825,-0.00861228581237243,0.506956740184516,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,22,2,0.2857142857142857,none,14.645095825195312,6.51087137893955,-0.0016376657895253305,0.5018978562403524,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,22,3,0.42857142857142855,none,14.683393478393555,5.923922061920166,0.006636670135722278,0.4958041683349312,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,22,4,0.5714285714285714,none,14.731928825378418,5.14636754989624,0.014455296407876184,0.49171910811498015,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,22,5,0.7142857142857143,none,14.813385009765625,3.7572693824768066,0.021557497551317806,0.48844767804128747,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,22,6,0.8571428571428571,none,14.959575653076172,1.637328863143921,0.02684347812554594,0.48833057648156974,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,22,7,1.0,final_endpoint,0.0,1.637328863143921,0.02684347812554594,0.48833057648156974,1.0,1.0,0.022531953058205545,0.2665332169854082,1.9089530857810193,3.6441018837128762,0.02684347812554594,0.0016873206255205303,1.637328863143921,0.0,,3,0
CURRENT_STATE_PROJECTION,1,22,0,0.0,current_state,11.502500534057617,9.951056241989136,0.008610970213381253,0.48961951492799594,1.0,0.0,0.11733467201702297,1.0843618150101975,4.358843153274601,18.999513634848867,-0.1094140644650266,-0.05865056325686517,861.5913873090225,549.1858029300524,"Acados projection did not converge: status=0, max_slack=34.2031, finite=True",12,132
CURRENT_STATE_PROJECTION,1,22,1,0.14285714285714285,current_state,8.940276145935059,7.312024831771851,0.016133547393248737,0.4780760760126737,1.0,0.0,0.12310615496244282,1.0923419590108097,2.8583144702410808,8.16996161078955,-0.046088020716198996,-0.06400537845833312,467.6454828950982,317.78428139914956,"Acados projection did not converge: status=0, max_slack=0.82119, finite=True",12,227
CURRENT_STATE_PROJECTION,1,22,2,0.2857142857142857,current_state,7.965404987335205,6.170941591262817,0.016709413811535956,0.4829297776012299,1.0,0.0,0.12059635890182108,1.0891390339820646,1.5600298850131025,2.433693242133993,-0.10337554287710841,-0.13355167644704846,262.06157464318073,185.38608292781961,"Acados projection did not converge: status=0, max_slack=33.3753, finite=True",12,351
CURRENT_STATE_PROJECTION,1,22,3,0.42857142857142855,current_state,8.076189994812012,5.63348650932312,0.016203086017184065,0.5074336160222286,1.0,0.0,0.12612885900307447,1.1041611660039052,1.3191710312437834,1.7402122096727874,-0.11689403068365313,-0.13102897254712115,145.35116914979758,88.53104965004155,"Acados projection did not converge: status=0, max_slack=0.263937, finite=True",12,145
CURRENT_STATE_PROJECTION,1,22,4,0.5714285714285714,current_state,9.764933586120605,4.750789403915405,0.01540764459198557,0.5591890241944627,1.0,0.0,0.1299172091530636,1.1425835459958762,1.2919483619698258,1.6691305699965158,-0.0938078066150427,-0.03302780446879276,63.08751601641576,35.083138931106795,"Acados projection did not converge: status=0, max_slack=0.179934, finite=True",12,26
CURRENT_STATE_PROJECTION,1,22,5,0.7142857142857143,current_state,12.535837173461914,4.042048454284668,0.0158010941894558,0.5983458701564166,1.0,0.0,0.13098055007867515,1.1394675929914229,1.3631125073859176,1.858075707791923,-0.032329910954353405,0.013584798359786501,20.246901208599922,5.610980449807604,"Acados projection did not converge: status=0, max_slack=0.118333, finite=True",12,0
CURRENT_STATE_PROJECTION,1,22,6,0.8571428571428571,current_state,18.347137451171875,2.753688097000122,0.01714805934275497,0.7276994486782578,1.0,1.0,0.056121202011127025,0.5593069669557735,2.4019441723568575,5.769335807119068,-0.06621526678068716,0.04126220971122402,2.025516500072313,0.0,,6,2
POV_ENDPOINT_PROJECTION,1,22,0,0.0,predicted_endpoint,14.67691421508789,7.501850433040491,-0.019362277675500514,0.5129280108194071,1.0,1.0,0.09781456098426133,0.9358977929805405,1.9628772189541703,3.8528869766892573,-0.019362277675500514,0.03149951517108277,7.501850433040491,0.0,,10,0
POV_ENDPOINT_PROJECTION,1,22,1,0.14285714285714285,predicted_endpoint,14.588786125183105,7.110641893478571,-0.008502897354303915,0.5045977430498924,1.0,1.0,0.05866104899905622,0.5621397430077195,2.280460975183973,5.200502259337037,-0.008502897354303915,0.040093755074932125,7.110641893478571,0.0,,6,0
POV_ENDPOINT_PROJECTION,1,22,2,0.2857142857142857,predicted_endpoint,15.005674362182617,7.347461198230646,-0.0022365793189027955,0.5036722608161235,1.0,1.0,0.0684949760325253,0.6544723970000632,2.53895739680053,6.4463046627681235,-0.0022365793189027955,0.006373894860258467,7.347461198230646,0.0,,7,0
POV_ENDPOINT_PROJECTION,1,22,3,0.42857142857142855,predicted_endpoint,16.021268844604492,6.449086666107178,0.005159419701660395,0.49846686505273374,1.0,1.0,0.06910947902360931,0.6520092710270546,1.9380750772057276,3.756135004885987,0.005159419701660395,0.030130100674364363,6.449086666107178,0.0,,7,0
POV_ENDPOINT_PROJECTION,1,22,4,0.5714285714285714,predicted_endpoint,18.01129913330078,7.3055219650268555,0.013359999414315815,0.5022599009914244,1.0,1.0,0.09649078390793875,0.8501250469707884,1.829653323240905,3.3476312832464874,0.013359999414315815,0.0317811201166059,7.3055219650268555,0.0,,9,1
POV_ENDPOINT_PROJECTION,1,22,5,0.7142857142857143,predicted_endpoint,22.159530639648438,20.332665631271507,-0.003920428444053343,0.5191807054968715,1.0,0.0,0.1300613540224731,1.1348339609685354,3.5287818539259184,12.452301372596839,-0.003920428444053343,-0.055240042576777185,20.332665631271507,3.390311938705187,"Acados projection did not converge: status=0, max_slack=0.0901351, finite=True",12,106
POV_ENDPOINT_PROJECTION,1,22,6,0.8571428571428571,predicted_endpoint,31.572383880615234,69.0171252471491,-0.0715731795831848,0.6448101901715201,1.0,0.0,0.1296569139813073,1.1389210910419933,2.137618205623471,4.569411593012907,-0.0715731795831848,-0.07273690819475156,69.0171252471491,33.46296231344912,"Acados projection did not converge: status=0, max_slack=0.175384, finite=True",12,74
PLAIN_FM,1,23,0,0.0,none,15.091039657592773,10.299231570625306,0.02680609761480418,0.4374685124799851,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,1,23,1,0.14285714285714285,none,15.010831832885742,6.120414733886719,0.025651967030783818,0.4470741819368842,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,1,23,2,0.2857142857142857,none,15.011326789855957,4.981095790863037,0.02430065356066019,0.4507288702725301,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,1,23,3,0.42857142857142855,none,15.00783920288086,3.815908432006836,0.025107275869875212,0.4539791984752859,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,1,23,4,0.5714285714285714,none,15.002839088439941,3.0262184143066406,0.02656613690670201,0.45551253712974077,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,1,23,5,0.7142857142857143,none,15.003766059875488,1.1555266380310059,0.029406327376818753,0.45416524562883603,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,1,23,6,0.8571428571428571,none,14.98752212524414,0.6524515151977539,0.033717601322484525,0.4496358595394562,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,23,0,0.0,none,15.091039657592773,10.299231570625306,0.02680609761480418,0.4374685124799851,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,23,1,0.14285714285714285,none,15.010831832885742,6.120414733886719,0.025651967030783818,0.4470741819368842,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,23,2,0.2857142857142857,none,15.011326789855957,4.981095790863037,0.02430065356066019,0.4507288702725301,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,23,3,0.42857142857142855,none,15.00783920288086,3.815908432006836,0.025107275869875212,0.4539791984752859,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,23,4,0.5714285714285714,none,15.002839088439941,3.0262184143066406,0.02656613690670201,0.45551253712974077,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,23,5,0.7142857142857143,none,15.003766059875488,1.1555266380310059,0.029406327376818753,0.45416524562883603,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,23,6,0.8571428571428571,none,14.98752212524414,0.6524515151977539,0.033717601322484525,0.4496358595394562,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,23,7,1.0,final_endpoint,0.0,0.6524515151977539,0.033717601322484525,0.4496358595394562,1.0,1.0,0.04304147104267031,0.46042569098062813,2.613209446565755,6.8288636116205,0.033717601322484525,0.016881261968169442,0.6524515151977539,0.0,,5,0
CURRENT_STATE_PROJECTION,1,23,0,0.0,current_state,10.340953826904297,10.919691782855988,0.020543539939936017,0.41179066923246094,1.0,0.0,0.12268802605103701,1.1000338509911671,6.529802067038852,42.63831503470487,-0.04676975912571013,-0.1160640400622184,639.2959813474943,368.5865594112828,"Acados projection did not converge: status=0, max_slack=6.24068, finite=True",12,159
CURRENT_STATE_PROJECTION,1,23,1,0.14285714285714285,current_state,7.632665157318115,7.864017486572266,0.02172207106217436,0.41100924771081626,1.0,0.0,0.12411364389117807,1.1069287459831685,3.1645324472271703,10.014265609553583,-0.10262005838648663,-0.10628752419992331,313.6446858394076,186.04898433215303,"Acados projection did not converge: status=0, max_slack=1.05264, finite=True",12,271
CURRENT_STATE_PROJECTION,1,23,2,0.2857142857142857,current_state,6.201058387756348,5.544723272323608,0.02452399312878545,0.41571106289427245,1.0,0.0,0.12341285281581804,1.1165514740278013,2.5289563096081653,6.39562001590695,-0.09489288402968624,-0.1166453287179463,153.56189495960646,55.12795685562589,"Acados projection did not converge: status=0, max_slack=0.174132, finite=True",12,303
CURRENT_STATE_PROJECTION,1,23,3,0.42857142857142855,current_state,7.289052963256836,3.7238550186157227,0.020189217243724494,0.4188248329380109,1.0,0.0,0.12752784608164802,1.125254837970715,1.6389309165543398,2.686094549237648,-0.09584454145963464,-0.13593623520891712,43.074650005631995,8.647068011202657,"Acados projection did not converge: status=0, max_slack=0.131047, finite=True",12,128
CURRENT_STATE_PROJECTION,1,23,4,0.5714285714285714,current_state,7.727906227111816,1.978839635848999,0.01978006710202912,0.480121402071951,1.0,1.0,0.09701274806866422,0.9310173260164447,2.5903645408784826,6.709988454640592,-0.13344731107831026,0.02882292030975954,6.167655847226381,0.0,,10,71
CURRENT_STATE_PROJECTION,1,23,5,0.7142857142857143,current_state,8.801836013793945,1.4964860677719116,0.023985385836135353,0.5119087879871731,1.0,1.0,0.004240583977662027,0.08808530902024359,1.6734366417728863,2.8003901940281155,-0.013326144156376042,0.03768202553250102,0.013326144156376042,0.0,,1,0
CURRENT_STATE_PROJECTION,1,23,6,0.8571428571428571,current_state,14.530647277832031,0.9402406215667725,0.02291456366893388,0.5187795373159363,1.0,1.0,0.011143398995045573,0.1781003000214696,1.6477409499377815,2.7150502381018624,-0.026786002279281226,0.017537550195627707,0.026786002279281226,0.0,,2,0
POV_ENDPOINT_PROJECTION,1,23,0,0.0,predicted_endpoint,15.091039657592773,10.299231570625306,0.02680609761480418,0.4374685124799851,1.0,0.0,0.1296487629879266,1.1317185129737481,2.6159003760500252,6.842934777418664,0.02680609761480418,0.04126426042869907,10.299231570625306,2.2695089359603227,"Acados projection did not converge: status=0, max_slack=0.095669, finite=True",12,3
