method,metric,count,mean,median,std,ci95_low,ci95_high,numerator,denominator
L1_REPLACE,velocity_violation,800,0.002540277267903057,0.0,0.018821758936508087,0.0013180172851469045,0.003992641732057892,,
L1_REPLACE,acceleration_violation,800,0.013304043561220169,0.0,0.11856317862323804,0.006082900939509272,0.022970817841123783,,
L1_REPLACE,planning_latency_sec,800,0.6798317012555344,0.590260725497501,0.5042280296617585,0.6484559248218448,0.7146643354220741,,
L1_REPLACE,fm_latency_sec,800,0.04539926071767695,0.04536852240562439,0.0004531981159517897,0.045368700301170975,0.04543202784642745,,
L1_REPLACE,optimizer_latency_sec,800,0.5445253693617996,0.4650303205125965,0.5023715042556945,0.511984953658788,0.5819457331396861,,
L1_REPLACE,projection_calls,800,3.0,3.0,0.0,3.0,3.0,,
L1_REPLACE,failed_projection_solves,800,0.06,0.0,0.4202627463503784,0.03375,0.09,,
L1_REPLACE,projection_failure_rate,800,0.02,0.0,0.14008758211679276,0.01125,0.03,,
L05_REPLACE,collision,800,0.45,0.0,0.4978049439316102,0.415,0.485,360,800
L05_REPLACE,min_clearance,800,0.017149886770540954,0.0031229710747364935,0.060764815961558666,0.012986345951578973,0.02135526417727707,,
L05_REPLACE,terminal_goal_error,800,0.38633120919749486,0.3827485243047346,0.15076144415970866,0.37599927388995724,0.3964511312284896,,
L05_REPLACE,trajectory_distortion_vs_plain,800,1.3627186745870858,1.3435380458831787,0.3990431413151934,1.334636890499387,1.3894896694035268,,
L05_REPLACE,joint_path_length,800,2.070125616375268,2.1360929671090894,0.5737752817870395,2.0314026103545,2.1079317790427803,,
L05_REPLACE,smoothness,800,0.025547085595813968,0.024894195003792807,0.008381706175176027,0.02496943501240678,0.02610203425442598,,
L05_REPLACE,velocity_violation,800,0.0028885828862040865,0.0,0.019726784976928823,0.0016441587461959266,0.004295235988233948,,
L05_REPLACE,acceleration_violation,800,0.013723329035565257,0.0,0.11994214553045952,0.006541126781376079,0.02270068571786396,,
L05_REPLACE,planning_latency_sec,800,0.6836527921321977,0.5922191675053909,0.5008984942838716,0.6508917240357568,0.7197433459791864,,
L05_REPLACE,fm_latency_sec,800,0.046217453858771476,0.04616421204991639,0.00054651750254284,0.046181778573793054,0.04625531375206992,,
L05_REPLACE,optimizer_latency_sec,800,0.5474934759405005,0.4660422074957751,0.4991257208260409,0.515232427543786,0.5836498158517115,,
L05_REPLACE,projection_calls,800,3.0,3.0,0.0,3.0,3.0,,
L05_REPLACE,failed_projection_solves,800,0.06,0.0,0.41426382674291584,0.03375,0.09,,
L05_REPLACE,projection_failure_rate,800,0.02,0.0,0.1380879422476386,0.010416666666666668,0.02916666666666667,,
L05_NO_REPLACE,collision,800,0.27375,0.0,0.4461611392790204,0.2425,0.305,219,800
L05_NO_REPLACE,min_clearance,800,0.04126830304259729,0.03160721836828549,0.06622869049544265,0.036694397868029714,0.04587096505045579,,
L05_NO_REPLACE,terminal_goal_error,800,0.4760791080021879,0.41131853896919945,0.2005254226756552,0.4620746698890772,0.4898165157711535,,
L05_NO_REPLACE,trajectory_distortion_vs_plain,800,0.752299355911091,0.7244940102100372,0.23103403438536949,0.7357652668990194,0.7684990688452963,,
L05_NO_REPLACE,joint_path_length,800,2.2122799940285645,2.2277908694599784,0.6785932430537357,2.1658063847326137,2.2570090193556305,,
L05_NO_REPLACE,smoothness,800,0.02123428115430851,0.021739867177509115,0.006012100278477944,0.02082350444810467,0.021643887988708355,,
L05_NO_REPLACE,velocity_violation,800,0.01765777036304768,0.0,0.03273264229467414,0.015415339790506624,0.02004048092418868,,
L05_NO_REPLACE,acceleration_violation,800,0.021868861420080064,0.0,0.13587375836587634,0.013250849728938191,0.03249255670583807,,
L05_NO_REPLACE,planning_latency_sec,800,0.682511704718272,0.5911654484807514,0.49950462293099746,0.6502362993452753,0.718506130841959,,
L05_NO_REPLACE,fm_latency_sec,800,0.04621757051398163,0.04617260297527537,0.0005242184544037874,0.04618225370732944,0.04625422837713813,,
L05_NO_REPLACE,optimizer_latency_sec,800,0.5463397846004955,0.4651729760225862,0.49773714683182946,0.5141628618168088,0.5839207198441309,,
L05_NO_REPLACE,projection_calls,800,3.0,3.0,0.0,3.0,3.0,,
L05_NO_REPLACE,failed_projection_solves,800,0.05875,0.0,0.4129304747426788,0.033718750000000006,0.09,,
L05_NO_REPLACE,projection_failure_rate,800,0.01958333333333333,0.0,0.1376434915808929,0.010833333333333332,0.03,,
