t,dt,delta,mean_abs_change_m,train_drop_prob
0.08611938304,0.007501294239999998,0.1,0.0008497556896754771,0.0002540787117440574
0.08611938304,0.007501294239999998,0.5,0.003096168406266156,0.0002540787117440574
0.08611938304,0.007501294239999998,1.0,0.005718228444793472,0.0002540787117440574
0.09362067728,0.008698841440000007,0.1,0.0009522841529986757,0.0002951928486928323
0.09362067728,0.008698841440000007,0.5,0.003402114495977167,0.0002951928486928323
0.09362067728,0.008698841440000007,1.0,0.005573212625128443,0.0002951928486928323
0.10231951872,0.010034374240000005,0.1,0.0007909508080291769,0.0003512680483767293
0.10231951872,0.010034374240000005,0.5,0.002792381809275414,0.0003512680483767293
0.10231951872,0.010034374240000005,1.0,0.006333942965001255,0.0003512680483767293
0.11235389296,0.011518107039999989,0.1,0.0006981759706263437,0.000429301308701094
0.11235389296,0.011518107039999989,0.5,0.0025734115124491364,0.000429301308701094
0.11235389296,0.011518107039999989,1.0,0.0058919828090481935,0.000429301308701094
0.123872,0.013160619040000002,0.1,0.0009484393002332902,0.0005404542326973921
0.123872,0.013160619040000002,0.5,0.003150531936742182,0.0005404542326973921
0.123872,0.013160619040000002,1.0,0.00587123422179113,0.0005404542326973921
0.13703261904,0.01497285424,0.1,0.0009554083461954781,0.0007030722211147857
0.13703261904,0.01497285424,0.5,0.0030579251105247035,0.0007030722211147857
0.13703261904,0.01497285424,1.0,0.007072783926502305,0.0007030722211147857
0.15200547328,0.01696612144000001,0.1,0.0008321606440549103,0.0009483003465153708
0.15200547328,0.01696612144000001,0.5,0.0028952391822886434,0.0009483003465153708
0.15200547328,0.01696612144000001,1.0,0.005952509373749679,0.0009483003465153708
0.16897159472,0.019152094239999973,0.1,0.000540492121396596,0.001330899975860056
0.16897159472,0.019152094239999973,0.5,0.002570853985831463,0.001330899975860056
0.16897159472,0.019152094239999973,1.0,0.0052007976367569875,0.001330899975860056
0.18812368895999998,0.02154281104,0.1,0.0005709762766517188,0.001950871666360326
0.18812368895999998,0.02154281104,0.5,0.0022459217344583844,0.001950871666360326
0.18812368895999998,0.02154281104,1.0,0.0059555809469204884,0.001950871666360326
0.20966649999999998,0.024150675040000014,0.1,0.0005752406739944257,0.0029984106474379556
0.20966649999999998,0.024150675040000014,0.5,0.0036367520257394453,0.0029984106474379556
0.20966649999999998,0.024150675040000014,1.0,0.006019813839752003,0.0029984106474379556
0.23381717504,0.026988454240000015,0.1,0.0005375825861404738,0.004851246719913278
0.23381717504,0.026988454240000015,0.5,0.0033284312674538435,0.004851246719913278
0.23381717504,0.026988454240000015,1.0,0.005876530475745906,0.004851246719913278
0.26080562928,0.030069281439999984,0.1,0.0005315873559349127,0.00829405688711137
0.26080562928,0.030069281439999984,0.5,0.0035429983315538732,0.00829405688711137
0.26080562928,0.030069281439999984,1.0,0.0060879348138741934,0.00829405688711137
0.29087491072,0.03340665424,0.1,0.0007487402247374503,0.015030905956189354
0.29087491072,0.03340665424,0.5,0.0036271566742279715,0.015030905956189354
0.29087491072,0.03340665424,1.0,0.006146279788206699,0.015030905956189354
0.32428156496,0.037014435040000015,0.1,0.0005265797870439987,0.028906151137099927
0.32428156496,0.037014435040000015,0.5,0.004724208255509135,0.028906151137099927
0.32428156496,0.037014435040000015,1.0,0.0062964145281955985,0.028906151137099927
0.361296,0.04090685103999997,0.1,0.0007299552897889559,0.05874102161977524
0.361296,0.04090685103999997,0.5,0.0037444700528072375,0.05874102161977524
0.361296,0.04090685103999997,1.0,0.006684754739551754,0.05874102161977524
0.40220285104,0.04509849424000001,0.1,0.0004911622626590237,0.1239067814016707
0.40220285104,0.04509849424000001,0.5,0.003718841752273598,0.1239067814016707
0.40220285104,0.04509849424000001,1.0,0.007142028013620225,0.1239067814016707
0.44730134528,0.04960432143999999,0.1,0.0006946208042245272,0.2584628877918062
0.44730134528,0.04960432143999999,0.5,0.004609777238983592,0.2584628877918062
0.44730134528,0.04960432143999999,1.0,0.007341427804086337,0.2584628877918062
0.49690566671999997,0.054439654240000024,0.1,0.0003980181183021103,0.48453326969732313
0.49690566671999997,0.054439654240000024,0.5,0.0034933998828017357,0.48453326969732313
0.49690566671999997,0.054439654240000024,1.0,0.006697163121744121,0.48453326969732313
0.55134532096,0.059620179040000054,0.1,0.0011735122080268334,0.7363157012534753
0.55134532096,0.059620179040000054,0.5,0.003941480258785879,0.7363157012534753
0.55134532096,0.059620179040000054,1.0,0.008086527924584738,0.7363157012534753
0.6109655,0.06516194704,0.1,0.0008877195882710416,0.9019702028521557
0.6109655,0.06516194704,0.5,0.0039834710395280845,0.9019702028521557
0.6109655,0.06516194704,1.0,0.007588619836743082,0.9019702028521557
0.67612744704,0.07108137423999994,0.1,0.0012860309492770602,0.9713225902226086
0.67612744704,0.07108137423999994,0.5,0.00398729973338785,0.9713225902226086
0.67612744704,0.07108137423999994,1.0,0.007665503633461565,0.9713225902226086
0.74720882128,0.07739524143999998,0.1,0.0010405592185724552,0.9929256233426765
0.74720882128,0.07739524143999998,0.5,0.004059641358413815,0.9929256233426765
0.74720882128,0.07739524143999998,1.0,0.008476535403536128,0.9929256233426765
0.82460406272,0.08412069424000002,0.1,0.0012171670798272714,0.9984869011297612
0.82460406272,0.08412069424000002,0.5,0.004023491262446499,0.9984869011297612
0.82460406272,0.08412069424000002,1.0,0.007329705001445225,0.9984869011297612
0.90872475696,0.09127524304000001,0.1,0.0011258087707619567,0.9997183306937965
0.90872475696,0.09127524304000001,0.5,0.004485089875029512,0.9997183306937965
0.90872475696,0.09127524304000001,1.0,0.008378443940908614,0.9997183306937965
